task,rule,baseline_global,modified_global,drop,neighbor_1,neighbor_2,neighbor_3,similarity_1,similarity_2,similarity_3,spillover_1,spillover_2,spillover_3,max_similarity,max_spillover,original_rule,edited_rule,equiv_size
12,252,0.9578,0.9508,0.007000000000000006,278,292,346,0.17890743911266327,0.1148948073387146,0.1026526540517807,0.0030526742339134216,-0.04693150892853737,0.0015834979712963104,0.17890743911266327,0.0030526742339134216,3 & 19,6 & 12,1
13,260,0.9578,0.95,0.007800000000000029,376,359,53,0.08877389132976532,0.08090826123952866,0.07970063388347626,0.0023105740547180176,0.0023668408393859863,0.003541618585586548,0.08877389132976532,0.003541618585586548,4 & 19,7 & 11,2
13,278,0.9578,0.95,0.007800000000000029,252,292,371,0.17890743911266327,0.1293381005525589,0.1223306730389595,0.0023877806961536407,0.0023877806961536407,0.002862118184566498,0.17890743911266327,0.002862118184566498,4 & 19,7 & 11,2
14,292,0.9578,0.9476,0.010199999999999987,278,346,252,0.1293381005525589,0.12824754416942596,0.1148948073387146,0.0019062869250774384,0.0031529217958450317,-0.04852141812443733,0.1293381005525589,0.0031529217958450317,5 & 19,8 & 10,1
15,304,0.9578,0.948,0.009800000000000031,267,217,185,0.16523072123527527,0.1613972932100296,0.1217423602938652,0.0031910091638565063,0.01718362420797348,0.002479780465364456,0.16523072123527527,0.01718362420797348,9 & 16,12 & 6,2
15,317,0.9578,0.948,0.009800000000000031,256,188,16,0.11902949959039688,0.0993049144744873,0.08818769454956055,0.001840297132730484,0.0013538748025894165,0.001840297132730484,0.11902949959039688,0.001840297132730484,9 & 16,12 & 6,2
16,330,0.9578,0.9474,0.010399999999999965,257,306,291,0.1179373562335968,0.1117698922753334,0.10775785893201828,0.003235839307308197,0.0032500214874744415,0.0030356086790561676,0.1179373562335968,0.0032500214874744415,8 & 18,11 & 7,1
17,340,0.9578,0.9478,0.010000000000000009,257,306,168,0.14645759761333466,0.1303553581237793,0.11980149894952774,0.002236686646938324,0.001999214291572571,0.001514047384262085,0.14645759761333466,0.002236686646938324,9 & 18,12 & 6,3
17,344,0.9578,0.9478,0.010000000000000009,142,306,329,0.11009691655635834,0.10593163967132568,0.08182414621114731,0.0021510832011699677,0.001999214291572571,0.002419237047433853,0.11009691655635834,0.002419237047433853,9 & 18,12 & 6,3
17,355,0.9578,0.9478,0.010000000000000009,354,253,171,0.09942911565303802,0.08156009763479233,0.08103454113006592,0.002200707793235779,0.0015007071197032928,0.0018928274512290955,0.09942911565303802,0.002200707793235779,9 & 18,12 & 6,3
18,360,0.9578,0.947,0.010800000000000032,193,351,29,0.07800467312335968,0.07681918889284134,0.07608092576265335,0.0011850781738758087,-0.04434378817677498,0.0010819397866725922,0.07800467312335968,0.0011850781738758087,9 & 19,12 & 6,4
18,371,0.9578,0.947,0.010800000000000032,278,338,47,0.1223306730389595,0.11012289673089981,0.0958462730050087,0.0008678287267684937,0.0008678287267684937,0.0015555769205093384,0.1223306730389595,0.0015555769205093384,9 & 19,12 & 6,4
18,374,0.9578,0.947,0.010800000000000032,353,371,126,0.10575234889984131,0.07060287147760391,0.06660345196723938,0.0011850781738758087,-0.04434378817677498,0.0012151040136814117,0.10575234889984131,0.0012151040136814117,9 & 19,12 & 6,4
18,376,0.9578,0.947,0.010800000000000032,292,23,260,0.09113427996635437,0.0901840478181839,0.08877389132976532,0.0016019567847251892,0.0014167316257953644,0.011687759310007095,0.09113427996635437,0.011687759310007095,9 & 19,12 & 6,4
